run_id,scenario,condition,repeat,host,users,spawn_rate,duration,started_at,total_requests,total_failures,failure_rate,blocked_401,blocked_403,blocked_429,blocked_other,blocked_total_401_403,blocked_rate_401_403,p95_ms,rps,denied_total_401_403_429,denied_rate_401_403_429
auth_login_storm__attacked__r01__20251230_155311,auth_login_storm,attacked,1,http://127.0.0.1:8000,50,20,2m,2025-12-30T15:53:11.8387140+00:00,55663,55662,0.9999820347448036,3,0,55659,0,3,5.3895765589350194e-05,11.0,466.4883265687618,55662,0.9999820347448035
auth_login_storm__attacked__r02__20251230_155512,auth_login_storm,attacked,2,http://127.0.0.1:8000,50,20,2m,2025-12-30T15:55:12.4052433+00:00,55607,55607,1.0,4,0,55603,0,4,7.193338968115525e-05,11.0,466.0979354769066,55607,1.0
auth_login_storm__attacked__r03__20251230_155712,auth_login_storm,attacked,3,http://127.0.0.1:8000,50,20,2m,2025-12-30T15:57:12.9801526+00:00,56078,56077,0.9999821676949964,3,0,56074,0,3,5.3496915011234354e-05,10.0,469.9756472803732,56077,0.9999821676949963
baseline_public_state__baseline__r01__20251230_153506,baseline_public_state,baseline,1,http://127.0.0.1:8000,10,2,2m,2025-12-30T15:35:06.6991310+00:00,11183,0,0.0,0,0,0,0,0,0.0,3.0,93.71353565963948,0,0.0
baseline_public_state__baseline__r02__20251230_153707,baseline_public_state,baseline,2,http://127.0.0.1:8000,10,2,2m,2025-12-30T15:37:07.2241486+00:00,11241,0,0.0,0,0,0,0,0,0.0,3.0,94.1774224364314,0,0.0
baseline_public_state__baseline__r03__20251230_153907,baseline_public_state,baseline,3,http://127.0.0.1:8000,10,2,2m,2025-12-30T15:39:07.7372606+00:00,11289,0,0.0,0,0,0,0,0,0.0,3.0,94.54050139762192,0,0.0
secure_mixed_80_20__attacked__r01__20251230_154710,secure_mixed_80_20,attacked,1,http://127.0.0.1:8000,75,15,2m,2025-12-30T15:47:10.0418590+00:00,95303,94637,0.9930117624838672,79246,0,15391,0,79246,0.8315163216268113,19.0,798.5656098516442,94637,0.9930117624838672
secure_mixed_80_20__attacked__r02__20251230_154910,secure_mixed_80_20,attacked,2,http://127.0.0.1:8000,75,15,2m,2025-12-30T15:49:10.6292017+00:00,94885,94231,0.9931074458555093,78994,0,15237,0,78994,0.8325235811772145,20.0,795.5337028974502,94231,0.9931074458555093
secure_mixed_80_20__attacked__r03__20251230_155111,secure_mixed_80_20,attacked,3,http://127.0.0.1:8000,75,15,2m,2025-12-30T15:51:11.2311632+00:00,95086,94461,0.9934270029236691,79104,0,15357,0,79104,0.8319205771617273,21.0,796.6904748969689,94461,0.9934270029236691
secure_valid_only__attacked__r01__20251230_154108,secure_valid_only,attacked,1,http://127.0.0.1:8000,50,10,2m,2025-12-30T15:41:08.2702126+00:00,100997,97683,0.9671871441725992,48839,0,48844,0,48839,0.4835688188758082,14.0,846.3695849400842,97683,0.9671871441725992
secure_valid_only__attacked__r02__20251230_154308,secure_valid_only,attacked,2,http://127.0.0.1:8000,50,10,2m,2025-12-30T15:43:08.8433491+00:00,100923,97620,0.9672720787134746,48806,0,48814,0,48806,0.4835964051801869,14.0,845.9865410390819,97620,0.9672720787134746
secure_valid_only__attacked__r03__20251230_154509,secure_valid_only,attacked,3,http://127.0.0.1:8000,50,10,2m,2025-12-30T15:45:09.4373950+00:00,100635,97315,0.96700948974015,48657,0,48658,0,48657,0.4834997764197347,14.0,843.7349900063006,97315,0.96700948974015
auth_login_storm__defended__r01__20251230_161611,auth_login_storm,defended,1,http://127.0.0.1:8000,50,20,2m,2025-12-30T16:16:11.4840672+00:00,55646,55646,1.0,4,55346,296,0,55350,0.994680659885706,11.0,466.6374096905613,55646,1.0
auth_login_storm__defended__r02__20251230_161812,auth_login_storm,defended,2,http://127.0.0.1:8000,50,20,2m,2025-12-30T16:18:12.0712374+00:00,55643,55643,1.0,4,55343,296,0,55347,0.994680373092752,11.0,466.4541572139212,55643,1.0
auth_login_storm__defended__r03__20251230_162012,auth_login_storm,defended,3,http://127.0.0.1:8000,50,20,2m,2025-12-30T16:20:12.6457435+00:00,55577,55577,1.0,4,55277,296,0,55281,0.9946740558144556,11.0,466.0972963040318,55577,1.0
secure_mixed_80_20__defended__r01__20251230_161009,secure_mixed_80_20,defended,1,http://127.0.0.1:8000,75,15,2m,2025-12-30T16:10:09.7124160+00:00,95018,95004,0.9998526594960956,1190,93518,296,0,94708,0.9967374602706855,15.0,796.1099630943871,95004,0.9998526594960955
secure_mixed_80_20__defended__r02__20251230_161210,secure_mixed_80_20,defended,2,http://127.0.0.1:8000,75,15,2m,2025-12-30T16:12:10.3072203+00:00,95402,95389,0.9998637345129032,1234,93849,306,0,95083,0.9966562545858576,15.0,799.1776673566643,95389,0.9998637345129033
secure_mixed_80_20__defended__r03__20251230_161410,secure_mixed_80_20,defended,3,http://127.0.0.1:8000,75,15,2m,2025-12-30T16:14:10.8899328+00:00,94839,94824,0.9998418372188655,1189,93339,296,0,94528,0.9967207583378146,15.0,794.8432810556592,94824,0.9998418372188657
secure_valid_only__defended__r01__20251230_160408,secure_valid_only,defended,1,http://127.0.0.1:8000,50,10,2m,2025-12-30T16:04:08.0352086+00:00,96857,96760,0.9989985235966424,1207,95232,321,0,96439,0.9956843594164592,16.0,811.4700866344946,96760,0.9989985235966424
secure_valid_only__defended__r02__20251230_160608,secure_valid_only,defended,2,http://127.0.0.1:8000,50,10,2m,2025-12-30T16:06:08.6013972+00:00,97934,97854,0.9991831233279556,1124,96434,296,0,97558,0.9961606796413912,15.0,820.5333488877749,97854,0.9991831233279556
secure_valid_only__defended__r03__20251230_160809,secure_valid_only,defended,3,http://127.0.0.1:8000,50,10,2m,2025-12-30T16:08:09.1602502+00:00,98538,98452,0.9991272402524914,1118,97038,296,0,98156,0.9961233229819968,14.0,825.8912019642358,98452,0.9991272402524914
